folder_name,MO_GAAL_mm_auc,MO_GAAL_mm_avgprecision
yeast-0-2-5-6_vs_3-7-8-9,0.5884703387465818,0.9198884815690601
yeast-0-2-5-7-9_vs_3-6-8,0.5852223896422792,0.9181738504090755
yeast-0-3-5-9_vs_7-8,0.727280701754386,0.9346026652947153
yeast-0-5-6-7-9_vs_4,0.5686685575697785,0.884866108826097
yeast-1-2-8-9_vs_7,0.5929116684841875,0.9736581253642126
yeast-1-4-5-8_vs_7,0.7215686274509805,0.8684453986038603
yeast-1_vs_7,0.65011655011655,0.951940999792809
yeast-2_vs_4,0.6830559437597933,0.843354105928124
yeast-2_vs_8,0.8467532467532468,0.9759595288401327
yeast1,0.5139871187264552,0.7220762539585812
yeast3,0.864120414447133,0.6216510330193425
yeast4,0.5561484887046235,0.956649891911362
yeast5,0.5588541666666667,0.9746823329979264
yeast6,0.600907029478458,0.9684057999939955
zoo-3,0.8041666666666666,0.5651578947368421
