folder_name,BRM_mm_auc,BRM_mm_avgprecision
vehicle1,0.5919204647857399,0.7962096487618726
vehicle2,0.656934786419681,0.5218429533975552
vehicle3,0.5702041545146123,0.7945724245728059
vowel0,0.5351893095768374,0.8922170274143072
winequality-red-3_vs_5,0.7958883994126285,0.9906139975747567
winequality-red-4,0.6495276916693109,0.9763479026017813
winequality-red-8_vs_6,0.7035005224660397,0.9801833163371867
winequality-red-8_vs_6-7,0.6396521969998672,0.9744869338262211
winequality-white-3-9_vs_5,0.8731091283459163,0.9905551029521193
winequality-white-3_vs_7,0.9469318181818182,0.9880351673776868
winequality-white-9_vs_4,0.6552147239263804,0.9741994099402972
wisconsinImb,0.9755456293113197,0.7967504715010014
yeast-0-2-5-6_vs_3-7-8-9,0.6386070651264022,0.9254606727657789
yeast-0-2-5-7-9_vs_3-6-8,0.632780847145488,0.927004857176843
yeast-0-3-5-9_vs_7-8,0.6262719298245614,0.9252155881721149
yeast-0-5-6-7-9_vs_4,0.6232170016853702,0.9002414312177118
yeast-1-2-8-9_vs_7,0.5673936750272628,0.9643829039022961
yeast-1-4-5-8_vs_7,0.5377073906485671,0.9431205198709308
yeast-1_vs_7,0.5838383838383838,0.9319804104060867
yeast-2_vs_4,0.7932071316647609,0.9402110900769005
yeast-2_vs_8,0.7547619047619047,0.9721502255235104
yeast1,0.5451673129398248,0.7340765535017058
yeast3,0.5574323226037162,0.9088829567309918
yeast4,0.675492248539332,0.9757868856133105
yeast5,0.6617424242424242,0.9792493293084543
yeast6,0.5587695947944396,0.9774071662609318
zoo-3,0.825,0.965524111115565
