folder_name,MAX_Bagging_mm_auc,MAX_Bagging_mm_avgprecision
winequality-red-8_vs_6,0.5879484500174155,0.9558957589763311
winequality-white-3-9_vs_5,0.8222649279341112,0.7838052443127544
winequality-white-3_vs_7,0.8957386363636364,0.5437775096796977
winequality-white-9_vs_4,0.7386503067484662,0.9368170728288074
wisconsinImb,0.6671943910437634,0.7359612888332591
yeast-0-2-5-6_vs_3-7-8-9,0.5999497739829232,0.7804151639942593
yeast-0-2-5-7-9_vs_3-6-8,0.5698532284167643,0.8438546612548143
yeast-0-3-5-9_vs_7-8,0.6333114035087719,0.796375454493637
yeast-0-5-6-7-9_vs_4,0.6038969046738193,0.8637582363997454
yeast-1-2-8-9_vs_7,0.6268993093420576,0.9346077972834053
yeast-1-4-5-8_vs_7,0.5108848667672197,0.9567995734605842
yeast-1_vs_7,0.6178710178710178,0.8840705704039
yeast-2_vs_4,0.725998390716978,0.8067028128415374
yeast-2_vs_8,0.8058441558441558,0.632476982165765
yeast1,0.521012163192258,0.708510113171748
yeast3,0.5010542301565555,0.8937793023190854
yeast4,0.6138568476937181,0.9462307334220694
yeast5,0.555050505050505,0.9646966806429937
yeast6,0.51406881593217,0.9773382184927463
zoo-3,0.8854166666666666,0.7150793650793651
