folder_name,OCKRA_mm_auc,OCKRA_mm_avgprecision
glass6,0.8171481826654241,0.9159802602633996
habermanImb,0.5,0.7352941176470589
iris0,0.5098,0.66
kr-vs-k-one_vs_fifteen,0.9794729739328077,0.9820085649782188
kr-vs-k-three_vs_eleven,0.8300544178843642,0.9842091627863153
kr-vs-k-zero-one_vs_draw,0.8944240070849513,0.9806991308838594
kr-vs-k-zero_vs_eight,0.7268356982243933,0.9877928236801727
kr-vs-k-zero_vs_fifteen,0.9916897506925207,0.9935610212065071
led7digit-0-2-4-5-6-7-8-9_vs_1,0.5302889095992545,0.916766667813736
lymphography-normal-fibrosis,0.6150234741784038,0.9631703702981356
new-thyroid1,0.5067460317460317,0.8495193911667145
new-thyroid2,0.6482539682539683,0.8778168580662804
page-blocks-1-3_vs_4,0.8281853281853282,0.965216339629927
page-blocks0,0.7406131445651656,0.8293090535349222
pimaImb,0.6989850746268657,0.7519287713863834
poker-8-9_vs_5,0.6951609756097561,0.9915787724954609
poker-8-9_vs_6,0.9083013698630137,0.9907870154171379
poker-8_vs_6,0.9474617244157937,0.9937028678416462
poker-9_vs_7,0.9883474576271186,0.9813014918281523
segment0,0.786492210766237,0.6324450204223271
shuttle-2_vs_5,0.9891368852407814,0.9923435778988752
shuttle-6_vs_2-3,0.9722727272727273,0.9754415281385783
shuttle-c0-vs-c4,0.8562414815238422,0.9620263109164434
shuttle-c2-vs-c4,0.9728997289972899,0.9718117308348694
vehicle0,0.5239877905757536,0.7841994050756268
vehicle1,0.5380642230737107,0.7738806512712795
vehicle2,0.6302007245953369,0.5251865172605641
vehicle3,0.573202487947146,0.7958649263901921
vowel0,0.6831353625340263,0.9348839386301214
winequality-red-3_vs_5,0.7411160058737152,0.9899324935999797
winequality-red-4,0.5426053845590568,0.9702148220128062
winequality-red-8_vs_6,0.6686694531522117,0.9785171002070252
winequality-red-8_vs_6-7,0.6093853710341165,0.9775462575691488
winequality-white-3-9_vs_5,0.8438984214138642,0.990358917184992
winequality-white-3_vs_7,0.8869886363636363,0.9873994470367176
winequality-white-9_vs_4,0.8208588957055215,0.9791057002931851
wisconsinImb,0.9703249274378981,0.7962323219198923
yeast-0-2-5-6_vs_3-7-8-9,0.6633852335509793,0.9242299232807
yeast-0-2-5-7-9_vs_3-6-8,0.7160109381103856,0.9354816184005945
yeast-0-3-5-9_vs_7-8,0.5997807017543859,0.9169043945785832
yeast-0-5-6-7-9_vs_4,0.5860155382907881,0.9150362008878052
yeast-1-2-8-9_vs_7,0.5736095965103598,0.9694925340598674
yeast-1-4-5-8_vs_7,0.5511814982403217,0.9467681380607867
yeast-1_vs_7,0.5847707847707848,0.938662716918514
yeast-2_vs_4,0.7786812349129717,0.9390707475546546
yeast-2_vs_8,0.7687229437229437,0.9722572626813704
yeast1,0.5472574818546383,0.7377003414861817
yeast3,0.5591785364313149,0.91009807420217
yeast4,0.6259732085437106,0.9735945708579662
yeast5,0.763604797979798,0.9816516429974292
yeast6,0.6438331854480923,0.9829242079946109
zoo-3,0.6520833333333333,0.956367914145458
