folder_name,SOD_mm_auc,SOD_mm_avgprecision
page-blocks-1-3_vs_4,0.8250482625482626,0.7257684396102904
page-blocks0,0.5866491987414647,0.727890949399658
pimaImb,0.5723731343283582,0.5605630595661186
poker-8-9_vs_5,0.603570731707317,0.9449060709787457
poker-8-9_vs_6,0.7458082191780822,0.9504948486263932
poker-8_vs_6,0.7390410958904109,0.9760770235526841
poker-9_vs_7,0.552436440677966,0.7845917281077379
segment0,0.682600435269417,0.90206305511907
shuttle-2_vs_5,0.9788359788359788,0.7406211751746566
shuttle-6_vs_2-3,0.9945454545454545,0.9376190476190477
shuttle-c0-vs-c4,0.8144044453340197,0.7813172034257109
shuttle-c2-vs-c4,0.9850948509485096,0.6357142857142857
vehicle0,0.5446242029311938,0.7754856309062597
vehicle1,0.5488706380546988,0.7346932328142883
vehicle2,0.5554695260912756,0.7205793711996867
vehicle3,0.544044997321588,0.737025216699015
vowel0,0.5452981935164563,0.8758183393123944
winequality-red-3_vs_5,0.631424375917768,0.9605011903040458
winequality-red-4,0.6415094339622641,0.9214317777204472
winequality-red-8_vs_6-7,0.5369042878003452,0.9724761307691734
winequality-red-8_vs_6,0.5801114594218042,0.9577040072471004
winequality-white-3-9_vs_5,0.8368977350720659,0.7346966263442645
winequality-white-3_vs_7,0.9247727272727273,0.5136309040139797
winequality-white-9_vs_4,0.5190184049079755,0.9650700280112045
wisconsinImb,0.9150834935353763,0.7910106756899011
yeast-0-2-5-6_vs_3-7-8-9,0.5519057983146382,0.8658736416886166
yeast-0-2-5-7-9_vs_3-6-8,0.6046486969138902,0.8714853230096982
yeast-0-3-5-9_vs_7-8,0.5400219298245613,0.8570971963680851
yeast-0-5-6-7-9_vs_4,0.6153450898178978,0.8251187193287516
yeast-1-2-8-9_vs_7,0.5196474009451109,0.9669007328727098
yeast-1-4-5-8_vs_7,0.5047762694821518,0.9579642703459879
yeast-1_vs_7,0.5303807303807304,0.9238607514816305
yeast-2_vs_4,0.6188963706432897,0.8574261074684758
yeast-2_vs_8,0.6590909090909092,0.905194316571799
yeast1,0.5292700979904772,0.6900603105439909
yeast3,0.5238455715367145,0.8942281289939206
yeast4,0.6312411915219682,0.9405058204523916
yeast5,0.5953361742424242,0.9502104944857975
yeast6,0.5389825495415557,0.9744785170214226
zoo-3,0.8770833333333332,0.7630434782608696
