folder_name,ISOF_mm_auc,ISOF_mm_avgprecision
glass-0-4_vs_5,0.7590361445783133,0.93143500860295
glass-0-6_vs_5,0.6924803591470259,0.9357218844166499
glass0,0.7177579365079365,0.512829431802257
glass1,0.5594965675057209,0.6167309171769503
glass2,0.6593012839653628,0.8393838272203512
glass4,0.8484500574052813,0.9628613957163304
glass5,0.7154471544715447,0.9691690652146526
glass6,0.8654240447343896,0.9193942622799265
habermanImb,0.6387379972565157,0.7867978317522666
iris0,0.5178,0.6241537963417586
kr-vs-k-one_vs_fifteen,0.994566375452802,0.9821821196512521
kr-vs-k-three_vs_eleven,0.7335037677247441,0.9825781217618285
kr-vs-k-zero-one_vs_draw,0.7215546018121126,0.9768053998319279
kr-vs-k-zero_vs_eight,0.7427567134475718,0.987859837481968
kr-vs-k-zero_vs_fifteen,0.9998974043295373,0.9935905708256663
led7digit-0-2-4-5-6-7-8-9_vs_1,0.5960258287844495,0.906896454253327
lymphography-normal-fibrosis,1.0,0.9760795071148334
new-thyroid1,0.8674603174603175,0.9031276558607153
new-thyroid2,0.8674603174603175,0.9031276558607153
page-blocks-1-3_vs_4,0.8593951093951094,0.9660216037650367
page-blocks0,0.8953466525049274,0.9438728859891726
pimaImb,0.6749701492537313,0.7379749533129092
poker-8-9_vs_5,0.563219512195122,0.9291900649032316
poker-8-9_vs_6,0.6244931506849315,0.9278591517700083
poker-8_vs_6,0.5211925866236906,0.9418124524852137
poker-9_vs_7,0.9247881355932204,0.9806905802647312
segment0,0.690493341176579,0.8015577507772909
shuttle-2_vs_5,0.994346682658371,0.99230964617546
shuttle-6_vs_2-3,0.98,0.9754781595426857
shuttle-c0-vs-c4,0.999952344189327,0.9653215064227485
shuttle-c2-vs-c4,0.981029810298103,0.9720657184970255
vehicle0,0.5363913850551054,0.7249876901380823
vehicle1,0.5562409793908846,0.7842833924511894
vehicle2,0.6496377023315608,0.5362985213781251
vehicle3,0.5841467769775609,0.7980435205037963
vowel0,0.9202177678792378,0.9508873368828229
winequality-red-3_vs_5,0.8121879588839942,0.9907635248262184
winequality-red-4,0.5988674363543167,0.9720905662291732
winequality-red-8_vs_6-7,0.5752688172043011,0.978752662310217
winequality-red-8_vs_6,0.6285266457680251,0.9766097904155565
winequality-white-3-9_vs_5,0.8107343857240906,0.9898817987379172
winequality-white-3_vs_7,0.8867613636363636,0.9876067346930906
winequality-white-9_vs_4,0.6871165644171779,0.9753705503832953
wisconsinImb,0.9853368012363828,0.7980870315842878
yeast-0-2-5-6_vs_3-7-8-9,0.741983369607679,0.9352556456428994
yeast-0-2-5-7-9_vs_3-6-8,0.7489480439756683,0.9377610350870323
yeast-0-3-5-9_vs_7-8,0.589078947368421,0.9156701534966711
yeast-0-5-6-7-9_vs_4,0.576561022731944,0.9171315587748479
yeast-1-2-8-9_vs_7,0.5959287531806616,0.9727746544262319
yeast-1-4-5-8_vs_7,0.5124685771744595,0.9514480575612287
yeast-1_vs_7,0.6257187257187258,0.9454432382092339
yeast-2_vs_4,0.8439418964129928,0.9424622361838922
yeast-2_vs_8,0.7695887445887446,0.9697931112403015
yeast1,0.5190910195649532,0.6991821120089915
yeast3,0.5828081533324354,0.9130878697348697
yeast4,0.6904067977505028,0.9769859106925164
yeast5,0.8717803030303031,0.9833409658455851
yeast6,0.731558710440698,0.9848067317589103
zoo-3,0.7145833333333333,0.9604703232644409
