folder_name,Largest_KNN_mm_auc,Largest_KNN_mm_avgprecision
glass5,0.8355013550135502,0.8676738099719467
glass6,0.6807082945013979,0.7669352978625895
habermanImb,0.6672153635116598,0.5852415745278623
iris0,0.8013,0.7717039884993042
kr-vs-k-one_vs_fifteen,0.8142061462698582,0.9063813058092342
kr-vs-k-three_vs_eleven,0.768235182157163,0.9341906007419113
kr-vs-k-zero-one_vs_draw,0.8261172423189591,0.7264171060349773
kr-vs-k-zero_vs_eight,0.5171357680080639,0.9730037272757153
kr-vs-k-zero_vs_fifteen,0.6835436544577819,0.9516699556428944
led7digit-0-2-4-5-6-7-8-9_vs_1,0.5728265211023832,0.90017988437853
lymphography-normal-fibrosis,1.0,1.0
new-thyroid1,0.8846031746031746,0.5085175699882446
new-thyroid2,0.8846031746031746,0.5085175699882446
page-blocks-1-3_vs_4,0.7560328185328186,0.6836996973520598
page-blocks0,0.7016767970194807,0.6386302541415441
pimaImb,0.707884328358209,0.5200428588597017
poker-8-9_vs_5,0.8081853658536585,0.8396760601280175
poker-8-9_vs_6,0.8585616438356164,0.707309184192688
poker-8_vs_6,0.8007252215954874,0.9312558263753823
poker-9_vs_7,0.982521186440678,0.8305353901996371
segment0,0.7719458570307376,0.9115812895570328
shuttle-2_vs_5,0.9875127277724681,0.6551181592408375
shuttle-6_vs_2-3,0.9918181818181817,0.8486796536796536
shuttle-c0-vs-c4,0.7233079804420554,0.8401903239924416
shuttle-c2-vs-c4,0.9742547425474254,0.5089285714285714
vehicle0,0.5044853323806048,0.7493450849778953
vehicle1,0.5691537294952854,0.7132734413846431
vehicle2,0.6603532402267283,0.7830669248722119
vehicle3,0.5974011963573598,0.7189933674049442
vowel0,0.5180524622618163,0.8353438611573774
winequality-red-3_vs_5,0.7534508076358297,0.9598981715824064
winequality-red-4,0.581305377236447,0.9494225981589066
winequality-red-8_vs_6-7,0.6185118810566839,0.9621391762370723
winequality-red-8_vs_6,0.677115987460815,0.9366583827190434
winequality-white-3-9_vs_5,0.843404255319149,0.7952058976368044
winequality-white-3_vs_7,0.9084659090909091,0.5165607244709922
winequality-white-9_vs_4,0.7141104294478527,0.9429396321284393
wisconsinImb,0.9753383090203174,0.9306595488384921
yeast-0-2-5-6_vs_3-7-8-9,0.6548635526536078,0.7810893207105923
yeast-0-2-5-7-9_vs_3-6-8,0.6762542552597801,0.8196417216144471
yeast-0-3-5-9_vs_7-8,0.6305482456140352,0.8399391374342292
yeast-0-5-6-7-9_vs_4,0.643996382620134,0.840273178681004
yeast-1-2-8-9_vs_7,0.5724282079243912,0.9479226641375263
yeast-1-4-5-8_vs_7,0.5364253393665159,0.9597031706931516
yeast-1_vs_7,0.5970473970473971,0.8801909975670905
yeast-2_vs_4,0.7897979926311778,0.7447196224397988
yeast-2_vs_8,0.7812770562770562,0.7525190929137956
yeast1,0.5258697069123609,0.696516055700612
yeast3,0.5573789144680318,0.8829241458770236
yeast4,0.6852824870352887,0.9360868651682329
yeast5,0.6901199494949495,0.943970103730715
yeast6,0.6067139899438037,0.9706486842176699
zoo-3,0.9291666666666666,0.7084175084175084
