folder_name,CBLOF_mm_auc,CBLOF_mm_avgprecision
yeast-0-2-5-7-9_vs_3-6-8,0.6015179418494336,0.8152273231979651
yeast-0-3-5-9_vs_7-8,0.6376754385964911,0.7841240587832198
yeast-0-5-6-7-9_vs_4,0.6140913388416163,0.85429821933641
yeast-1-2-8-9_vs_7,0.5782260996001455,0.9519596469902871
yeast-1-4-5-8_vs_7,0.5212166918049271,0.9522462301733534
yeast-1_vs_7,0.6247086247086248,0.8949108111697593
yeast-2_vs_4,0.7274806250794054,0.804009915048276
yeast-2_vs_8,0.8146103896103896,0.5502937902395726
yeast1,0.5063842950098875,0.7063375009190753
yeast3,0.5174180185117243,0.8863259050697117
yeast4,0.7025026339914892,0.9358321930045592
yeast5,0.5804766414141415,0.9593893387840342
yeast6,0.5395642314896973,0.9745510507857573
zoo-3,0.7447916666666666,0.8770093839249287
