folder_name,COF_mm_auc,COF_mm_avgprecision
kr-vs-k-zero-one_vs_draw,0.8172729749982969,0.6937982879846382
kr-vs-k-zero_vs_eight,0.6655036054896488,0.9704185551647033
kr-vs-k-zero_vs_fifteen,0.6351184979993845,0.8468541016536081
led7digit-0-2-4-5-6-7-8-9_vs_1,0.5186393289841565,0.9020945196825871
lymphography-normal-fibrosis,0.8943661971830986,0.6781609195402298
new-thyroid1,0.8065079365079365,0.5960544689962468
new-thyroid2,0.8065079365079365,0.5960544689962468
page-blocks-1-3_vs_4,0.5559041184041184,0.9154280544027122
page-blocks0,0.6821384396185943,0.6645922771639805
pimaImb,0.5822462686567164,0.56774689137132
poker-8-9_vs_5,0.8025951219512195,0.8995160129934793
poker-8-9_vs_6,0.8698630136986302,0.8855133904081305
poker-8_vs_6,0.8316277195809831,0.9571653987094787
poker-9_vs_7,1.0,1.0
segment0,0.5826466653662852,0.8830163907033918
shuttle-2_vs_5,0.5166382439109712,0.9854374707130835
shuttle-6_vs_2-3,0.9786363636363636,0.5240997890997892
shuttle-c0-vs-c4,0.5490140012771758,0.9178199935732947
shuttle-c2-vs-c4,0.9701897018970189,0.5443121693121693
vehicle0,0.5165394204406888,0.7414493132184335
vehicle1,0.5519037606324133,0.7133415543962481
vehicle2,0.5792599193595512,0.7780887307989987
vehicle3,0.5438664365216356,0.7340475164277369
vowel0,0.5106533036377134,0.8386984568704745
winequality-red-3_vs_5,0.780763582966226,0.9589911859043816
winequality-red-4,0.640508677292587,0.9310244019612803
winequality-red-8_vs_6,0.5921281783350749,0.9614994702862414
winequality-red-8_vs_6-7,0.537037037037037,0.9741237140831808
winequality-white-3-9_vs_5,0.782566918325326,0.8574897601811482
winequality-white-3_vs_7,0.906590909090909,0.6450508662372179
winequality-white-9_vs_4,0.6822085889570553,0.9482128982128982
wisconsinImb,0.5964322062648422,0.7194431366626194
yeast-0-2-5-6_vs_3-7-8-9,0.5658239857134885,0.8373121894599285
yeast-0-2-5-7-9_vs_3-6-8,0.5080305820637312,0.8837493425968656
yeast-0-3-5-9_vs_7-8,0.6029385964912282,0.876681498994494
yeast-0-5-6-7-9_vs_4,0.5712171661117277,0.8719379117616693
yeast-1-2-8-9_vs_7,0.6100690657942566,0.9134285104227773
yeast-1-4-5-8_vs_7,0.5372046254399195,0.9585215642933291
yeast-1_vs_7,0.6082362082362083,0.8924601159115154
yeast-2_vs_4,0.659763689493076,0.8255575820327781
yeast-2_vs_8,0.7914502164502164,0.8164265464417446
yeast1,0.5494780101415172,0.6783554395992513
yeast3,0.5207107461813183,0.8829740016292834
yeast4,0.5882626602629887,0.943179242561442
yeast5,0.501736111111111,0.96219332250425
yeast6,0.5877945381050971,0.9800186613832813
zoo-3,0.8541666666666666,0.8219930396400985
