folder_name,Avg_KNN_mm_auc,Avg_KNN_mm_avgprecision
lymphography-normal-fibrosis,0.9988262910798122,0.976190476190476
new-thyroid1,0.8847619047619047,0.5018948852600131
new-thyroid2,0.8847619047619047,0.5018948852600131
page-blocks-1-3_vs_4,0.744047619047619,0.6986945361337875
page-blocks0,0.6797937056482255,0.6556694416615875
pimaImb,0.7088059701492537,0.5274891677463831
poker-8-9_vs_5,0.8377560975609757,0.8606504943459057
poker-8-9_vs_6,0.8543561643835617,0.8508053119036063
poker-8_vs_6,0.7992747784045124,0.9592240501209259
poker-9_vs_7,0.9878177966101696,0.8049428104575164
segment0,0.7505940029888295,0.9098020763394052
shuttle-2_vs_5,0.9857324013168169,0.6803174046905561
shuttle-6_vs_2-3,0.9913636363636363,0.8151587301587301
shuttle-c0-vs-c4,0.6746013591437204,0.8621491931674745
shuttle-c2-vs-c4,0.9715447154471545,0.5324074074074074
vehicle0,0.5197781799259047,0.7516769571685176
vehicle1,0.5895247375323277,0.7066230223041516
vehicle2,0.6560509554140127,0.7810336932035777
vehicle3,0.5869814296768049,0.7256310260942664
vowel0,0.5255753526354862,0.8700191704192575
winequality-red-3_vs_5,0.8060205580029369,0.950963140495698
winequality-red-4,0.639861846762186,0.9235442671862362
winequality-red-8_vs_6-7,0.6332802336386566,0.9529812421538754
winequality-red-8_vs_6,0.7001915708812261,0.9273548319930671
winequality-white-3-9_vs_5,0.8763486616334936,0.7480402120212002
winequality-white-3_vs_7,0.9379545454545455,0.5682617938938391
winequality-white-9_vs_4,0.6576687116564417,0.9521534685333853
wisconsinImb,0.9763372158769649,0.9357028637362943
yeast-0-2-5-6_vs_3-7-8-9,0.6507617612589989,0.7918285543662256
yeast-0-2-5-7-9_vs_3-6-8,0.6571795301077068,0.8259929385253681
yeast-0-3-5-9_vs_7-8,0.6328947368421053,0.8456438515191579
yeast-0-5-6-7-9_vs_4,0.6340280346939614,0.8446903184629041
yeast-1-2-8-9_vs_7,0.5858960378044348,0.9472610799982275
yeast-1-4-5-8_vs_7,0.5378079436902967,0.959453761518052
yeast-1_vs_7,0.5897435897435899,0.893341784381925
yeast-2_vs_4,0.7940964722822175,0.734041103876129
yeast-2_vs_8,0.779004329004329,0.7800925490658899
yeast1,0.5380483655365172,0.6833044319407342
yeast3,0.5631818245147987,0.8810718233736548
yeast4,0.6878617462337342,0.935138956740318
yeast5,0.6765467171717172,0.9445646315034892
yeast6,0.574622892635315,0.9726880758445646
zoo-3,0.8791666666666667,0.6846560846560846
