folder_name,GMM_auc,GMM_avgprecision
kr-vs-k-three_vs_eleven,0.7853262045039667,0.9829404305040268
kr-vs-k-zero-one_vs_draw,0.960719395054159,0.981373359636777
kr-vs-k-zero_vs_eight,0.744669302938668,0.9879383033392609
kr-vs-k-zero_vs_fifteen,1.0,0.9935906654420418
led7digit-0-2-4-5-6-7-8-9_vs_1,0.5468978831047797,0.8948924629582317
lymphography-normal-fibrosis,0.9671361502347418,0.9755504754626492
new-thyroid1,0.8133333333333334,0.9006158965711898
new-thyroid2,0.8133333333333334,0.9006158965711898
page-blocks-1-3_vs_4,0.6728603603603603,0.927476405227881
page-blocks0,0.912182348535356,0.9447013341506121
pimaImb,0.6744477611940298,0.7323977267387882
poker-8-9_vs_5,0.6563512195121951,0.9121094268118238
poker-8-9_vs_6,0.6469315068493151,0.929339025048856
poker-8_vs_6,0.5201853344077357,0.9146664994888514
poker-9_vs_7,0.9629237288135594,0.9811246311179842
segment0,0.7171516731148181,0.7553762136637189
shuttle-2_vs_5,0.9738073374437011,0.9923581589187198
shuttle-6_vs_2-3,0.9313636363636364,0.9749768341030733
shuttle-c0-vs-c4,0.997312212278043,0.9652625354881554
shuttle-c2-vs-c4,0.9742547425474255,0.97183431133435
vehicle0,0.6045995044775656,0.8130015524421058
vehicle1,0.5493834848673558,0.7201622059322554
vehicle2,0.5673537661426985,0.6166818983557388
vehicle3,0.5185554431283852,0.774445376895949
vowel0,0.793046275674338,0.9457145293067317
winequality-red-3_vs_5,0.7947136563876651,0.9906205607873061
winequality-red-4,0.5767409504747492,0.9720259192179121
winequality-red-8_vs_6-7,0.5829018983140848,0.9751833138040231
winequality-red-8_vs_6,0.625914315569488,0.97569693910989
winequality-white-3-9_vs_5,0.815264241592313,0.9900794893123668
winequality-white-3_vs_7,0.8856818181818182,0.9875946079832693
winequality-white-9_vs_4,0.7300613496932515,0.9766397804139642
wisconsinImb,0.9723887066983301,0.797392905484204
yeast-0-2-5-6_vs_3-7-8-9,0.7028405602991239,0.9330416785268717
yeast-0-2-5-7-9_vs_3-6-8,0.7436910541882917,0.9372571150481064
yeast-0-3-5-9_vs_7-8,0.6124561403508773,0.9213496044923299
yeast-0-5-6-7-9_vs_4,0.654170263493238,0.9299269441705564
yeast-1-2-8-9_vs_7,0.6299163940385314,0.9757603904633027
yeast-1-4-5-8_vs_7,0.5259426847662142,0.9596962501972114
yeast-1_vs_7,0.6441336441336443,0.9511678438200601
yeast-2_vs_4,0.8108245458010418,0.9408278376898995
yeast-2_vs_8,0.7547619047619047,0.9666470040204578
yeast1,0.53951987980424,0.6845038367132382
yeast3,0.6147322859146491,0.9177949099928987
yeast4,0.7038572581858982,0.977293958506955
yeast5,0.7878787878787878,0.9818706232984475
yeast6,0.6947451444345853,0.9840571769382442
zoo-3,0.8770833333333333,0.9672582534736053
