folder_name,LODA_auc,LODA_avgprecision
winequality-red-4,0.5507700944616661,0.9690339200817502
winequality-red-8_vs_6-7,0.544205495818399,0.9711978934845237
winequality-red-8_vs_6,0.5436259143155695,0.9546777124916781
winequality-white-3-9_vs_5,0.7932738503774879,0.7509371247354643
winequality-white-3_vs_7,0.7461931818181817,0.6971114260714122
winequality-white-9_vs_4,0.8355828220858895,0.8928809672712111
wisconsinImb,0.9892099212182894,0.9803462016396329
yeast-0-2-5-6_vs_3-7-8-9,0.5734695016462972,0.8722703172909914
yeast-0-2-5-7-9_vs_3-6-8,0.7150845471287461,0.7786501360131634
yeast-0-3-5-9_vs_7-8,0.7117105263157895,0.6998876468375804
yeast-0-5-6-7-9_vs_4,0.5840835285896329,0.8775258562541829
yeast-1-2-8-9_vs_7,0.5931661214103963,0.9584860236241759
yeast-1-4-5-8_vs_7,0.5548014077425842,0.9499779639485055
yeast-1_vs_7,0.6742812742812744,0.8643887882282806
yeast-2_vs_4,0.5914538601617753,0.8858715143915162
yeast-2_vs_8,0.5682900432900433,0.9419251217822094
yeast1,0.5276505485036291,0.6969348885455711
yeast3,0.5056914495896861,0.8960074208915016
yeast4,0.6609471422902726,0.9474664899854468
yeast5,0.7534880050505051,0.9392854953831719
yeast6,0.5356600611258996,0.9793456486187997
zoo-3,0.7208333333333334,0.8945103729810555
