folder_name,COF_auc,COF_avgprecision
kr-vs-k-zero_vs_fifteen,0.6689579699736672,0.8467040523370007
led7digit-0-2-4-5-6-7-8-9_vs_1,0.5186393289841565,0.9020945196825871
lymphography-normal-fibrosis,0.9061032863849765,0.6887464387464387
new-thyroid1,0.7180952380952381,0.7446661944317442
new-thyroid2,0.7179365079365079,0.7447070240904082
page-blocks-1-3_vs_4,0.534507722007722,0.8982385371212798
page-blocks0,0.6294790536006296,0.7169447538929103
pimaImb,0.5186268656716418,0.641214373786438
poker-8-9_vs_5,0.7857951219512195,0.8935707901827862
poker-8-9_vs_6,0.8856986301369862,0.6215151245227406
poker-8_vs_6,0.8535858178887994,0.9119125651314375
poker-9_vs_7,0.7897245762711864,0.6897867217867538
segment0,0.6146468005240435,0.8924824495617778
shuttle-2_vs_5,0.5440802583659726,0.9719687170681499
shuttle-6_vs_2-3,0.9895454545454545,0.6636186036186037
shuttle-c0-vs-c4,0.5465978516760549,0.885527951386101
shuttle-c2-vs-c4,0.967479674796748,0.5637566137566137
vehicle0,0.5955667052418196,0.780331130435364
vehicle1,0.5044581040785974,0.7497132457976918
vehicle2,0.5097878805586396,0.7235120751091614
vehicle3,0.5867879888101899,0.7084899080625324
vowel0,0.531242266765652,0.8416449284057618
winequality-red-3_vs_5,0.5531571218795888,0.9785070627982766
winequality-red-4,0.5137543020332447,0.9625243791559107
winequality-red-8_vs_6,0.6015325670498084,0.9525123137073745
winequality-red-8_vs_6-7,0.5858887561396522,0.9592259307693953
winequality-white-3-9_vs_5,0.7400686341798216,0.8360598046491066
winequality-white-3_vs_7,0.8187500000000001,0.6458925198909269
winequality-white-9_vs_4,0.6969325153374234,0.8922745148461838
wisconsinImb,0.6034245542613743,0.7213842302410104
yeast-0-2-5-6_vs_3-7-8-9,0.5901333779786819,0.8277380728148156
yeast-0-2-5-7-9_vs_3-6-8,0.5379206428930186,0.8817744445109801
yeast-0-3-5-9_vs_7-8,0.5746929824561404,0.8828701512524264
yeast-0-5-6-7-9_vs_4,0.5969087844781519,0.8594185669682644
yeast-1-2-8-9_vs_7,0.6016721192293711,0.9256093937576337
yeast-1-4-5-8_vs_7,0.5066365007541478,0.9540889076696182
yeast-1_vs_7,0.6282051282051282,0.8864868055909318
yeast-2_vs_4,0.6560369288104011,0.825905337420766
yeast-2_vs_8,0.8183982683982685,0.7651291448127744
yeast1,0.5383797876688872,0.6851327268849134
yeast3,0.525085569121738,0.8840852129959024
yeast4,0.6205273456207325,0.9397708921073016
yeast5,0.5254261363636363,0.955378283613251
yeast6,0.5718820861678005,0.9803587736269178
zoo-3,0.7854166666666668,0.6981594759919882
