folder_name,BRM_auc,BRM_avgprecision
lymphography-normal-fibrosis,0.965962441314554,0.9756304582766697
new-thyroid1,0.8806349206349207,0.9051246984569663
new-thyroid2,0.8806349206349207,0.9044134744018141
page-blocks-1-3_vs_4,0.7468629343629344,0.9547529856046321
page-blocks0,0.6638076775609378,0.8159762633201808
pimaImb,0.6997985074626866,0.748307677115219
poker-8-9_vs_5,0.8109268292682926,0.9929204427644938
poker-8-9_vs_6,0.8112328767123288,0.9899852607199877
poker-8_vs_6,0.7309427880741337,0.9922994947714276
poker-9_vs_7,0.941207627118644,0.9808522018904755
segment0,0.7265436014320579,0.7521367615740115
shuttle-2_vs_5,0.9837396850383864,0.9923301275504088
shuttle-6_vs_2-3,0.9936363636363637,0.9756833556343882
shuttle-c0-vs-c4,0.626850236849379,0.9501053703414515
shuttle-c2-vs-c4,0.967479674796748,0.9716174452106654
vehicle0,0.5178753116432239,0.7669468292526946
vehicle1,0.603422886155334,0.799353270458056
vehicle2,0.6489583942032373,0.5218563122154551
vehicle3,0.5804788405452056,0.7968638791891299
vowel0,0.5468572135609998,0.8733409752357553
winequality-red-3_vs_5,0.8177679882525697,0.9907777903825145
winequality-red-4,0.6531279748102223,0.976589312293549
winequality-red-8_vs_6,0.6919191919191919,0.9795223981229852
winequality-red-8_vs_6-7,0.6203371830611975,0.9764127555932718
winequality-white-3-9_vs_5,0.8840905971173645,0.9906196477065798
winequality-white-3_vs_7,0.9526704545454545,0.988062331618329
winequality-white-9_vs_4,0.6147239263803681,0.9725275501374818
wisconsinImb,0.9744524859587621,0.7967160911609756
yeast-0-2-5-6_vs_3-7-8-9,0.6496121435347955,0.9274142519681385
yeast-0-2-5-7-9_vs_3-6-8,0.6267983704447793,0.9262934695533167
yeast-0-3-5-9_vs_7-8,0.6111842105263158,0.9191853551352219
yeast-0-5-6-7-9_vs_4,0.6195996218193777,0.9166988949280837
yeast-1-2-8-9_vs_7,0.5988004362050163,0.9701857364640883
yeast-1-4-5-8_vs_7,0.5161890397184514,0.9477155513967889
yeast-1_vs_7,0.5756798756798757,0.9203473332840446
yeast-2_vs_4,0.785287765214077,0.9396555910704664
yeast-2_vs_8,0.7635281385281385,0.9731491767129876
yeast1,0.5505009997900994,0.7325580669910541
yeast3,0.5651416708851353,0.9101049026223094
yeast4,0.6824158833107563,0.9756561345324014
yeast5,0.6737847222222222,0.9795903867309338
yeast6,0.533767130040422,0.9770373511168409
zoo-3,0.79375,0.9640257515473033
