folder_name,ABOD_auc,ABOD_avgprecision
winequality-red-4,0.542849471551661,0.9701148451049224
winequality-red-8_vs_6,0.5208986415882968,0.9711460369740962
winequality-red-8_vs_6-7,0.5030532324439134,0.97748924910987
winequality-white-3-9_vs_5,0.7091832532601235,0.9658737560652231
winequality-white-3_vs_7,0.7457670454545453,0.9522165843489167
winequality-white-9_vs_4,0.550920245398773,0.9558098022369657
wisconsinImb,0.6744694485280259,0.735763193546406
yeast-0-2-5-6_vs_3-7-8-9,0.637301188682404,0.8022024846240956
yeast-0-2-5-7-9_vs_3-6-8,0.6144985769295161,0.8389915867041597
yeast-0-3-5-9_vs_7-8,0.5878947368421052,0.8676287540872856
yeast-0-5-6-7-9_vs_4,0.6293007769145393,0.8445776569101509
yeast-1-2-8-9_vs_7,0.5793529625590695,0.9561175868917391
yeast-1-4-5-8_vs_7,0.5309703368526898,0.9584855121420593
yeast-1_vs_7,0.5145299145299145,0.9257873457445489
yeast-2_vs_4,0.7407360352348282,0.8012334215525393
yeast-2_vs_8,0.7287878787878789,0.8250519410527212
yeast1,0.539553022017477,0.6873545384085926
yeast3,0.5231907413513652,0.8923568728891312
yeast4,0.6653941409082824,0.9352174159053194
yeast5,0.6576546717171717,0.9380230145580674
yeast6,0.5042295178941141,0.9768379958984017
zoo-3,0.6854166666666667,0.9578062448304384
