folder_name,Median_KNN_auc,Median_KNN_avgprecision
wisconsinImb,0.9782125221455764,0.9395670767908464
yeast-0-2-5-6_vs_3-7-8-9,0.6480718790111055,0.7760803544209381
yeast-0-2-5-7-9_vs_3-6-8,0.6423684357386015,0.8144967540064023
yeast-0-3-5-9_vs_7-8,0.630438596491228,0.8305261519042555
yeast-0-5-6-7-9_vs_4,0.6522793603814692,0.8209611101842547
yeast-1-2-8-9_vs_7,0.5831879316612141,0.9508353641122429
yeast-1-4-5-8_vs_7,0.5351935646053293,0.9592751730425623
yeast-1_vs_7,0.5715229215229216,0.9064989315534087
yeast-2_vs_4,0.7769449032312709,0.7443142631315607
yeast-2_vs_8,0.7827922077922078,0.7385057122304659
yeast1,0.5410521547962307,0.6812592463541988
yeast3,0.5546527774552649,0.8832914373294797
yeast4,0.6747533626151088,0.9373135812328337
yeast5,0.6642440025252525,0.9204423739341496
yeast6,0.5500345065562458,0.9750112299160342
zoo-3,0.93125,0.7018181818181818
