folder_name,SOD_auc,SOD_avgprecision
vehicle1,0.5325694357952422,0.737358619966696
vehicle2,0.5275302401682931,0.684988335986411
vehicle3,0.5866466281768942,0.7216666433609488
vowel0,0.6581168027715911,0.8196387447782492
winequality-red-3_vs_5,0.5452276064610866,0.9776996039699507
winequality-red-4,0.5850154995240304,0.9416309281109427
winequality-red-8_vs_6-7,0.565644497544139,0.97728807115827
winequality-red-8_vs_6,0.5207244862417276,0.9496552774869053
winequality-white-3-9_vs_5,0.8099656829100892,0.8889418693926836
winequality-white-3_vs_7,0.8813068181818181,0.7141632996903994
winequality-white-9_vs_4,0.8564417177914111,0.8645882507212169
wisconsinImb,0.9260007915865657,0.8089495874560312
yeast-0-2-5-6_vs_3-7-8-9,0.5423182097215247,0.8823115745931936
yeast-0-2-5-7-9_vs_3-6-8,0.5734974049891177,0.8816535321197458
yeast-0-3-5-9_vs_7-8,0.5554824561403509,0.8733788174840024
yeast-0-5-6-7-9_vs_4,0.500431619188556,0.8689079688356227
yeast-1-2-8-9_vs_7,0.5618138858596874,0.9630473912462371
yeast-1-4-5-8_vs_7,0.5005027652086476,0.9517820149863493
yeast-1_vs_7,0.5217948717948717,0.9335160022645571
yeast-2_vs_4,0.6775081522889934,0.8365157770601594
yeast-2_vs_8,0.7126623376623377,0.901290479588478
yeast1,0.5178470818281244,0.697319053401813
yeast3,0.5069593122889798,0.8881260085547611
yeast4,0.6159161501306734,0.9460819971905767
yeast5,0.5875631313131313,0.9472523070072417
yeast6,0.5025041900818299,0.9729886899832022
zoo-3,0.6000000000000001,0.8236303630363037
