folder_name,CBLOF_auc,CBLOF_avgprecision
kr-vs-k-three_vs_eleven,0.8953342503914801,0.8153433356839356
kr-vs-k-zero-one_vs_draw,0.8900214592274678,0.6912732086402753
kr-vs-k-zero_vs_eight,0.5146674937323926,0.9826947580317448
kr-vs-k-zero_vs_fifteen,0.9875346260387812,0.6840704344388377
led7digit-0-2-4-5-6-7-8-9_vs_1,0.54796298761816,0.9069631924185646
lymphography-normal-fibrosis,0.9595070422535211,0.5778619528619529
new-thyroid1,0.7609523809523809,0.6924698835698501
new-thyroid2,0.7512698412698413,0.6975267794491244
page-blocks-1-3_vs_4,0.9009009009009009,0.6434580233502767
page-blocks0,0.6472487107513307,0.7944210250180912
pimaImb,0.570186567164179,0.5690291284080722
poker-8-9_vs_5,0.7797658536585366,0.7512157726889092
poker-8-9_vs_6,0.5381369863013699,0.9684300492373198
poker-8_vs_6,0.6539887187751814,0.9914066637222309
poker-9_vs_7,0.7494703389830508,0.7525618316412651
segment0,0.5404467271088065,0.879211241699211
shuttle-2_vs_5,0.9720582447855175,0.7772859988059959
shuttle-6_vs_2-3,1.0,1.0
shuttle-c0-vs-c4,0.9958777723767859,0.8541114792298674
shuttle-c2-vs-c4,0.967479674796748,0.5637566137566137
vehicle0,0.5508764844314307,0.8000491586438674
vehicle1,0.5443722388693926,0.7686961220215284
vehicle2,0.5591874598258634,0.6685775269659013
vehicle3,0.5719004821141599,0.7173639519979326
vowel0,0.8414996288047514,0.604461001956528
winequality-red-3_vs_5,0.6306901615271658,0.9882969531048631
winequality-red-4,0.5568234518782496,0.9703330675997056
winequality-red-8_vs_6-7,0.558542413381123,0.9799051520709279
winequality-red-8_vs_6,0.5372692441657958,0.9709658089308838
winequality-white-3-9_vs_5,0.694824982841455,0.7797995413007368
winequality-white-3_vs_7,0.8171022727272726,0.5717151345661129
winequality-white-9_vs_4,0.5361963190184049,0.9532802964254578
wisconsinImb,0.9638414565192809,0.915106890085585
yeast-0-2-5-6_vs_3-7-8-9,0.614018639433004,0.7468263480433386
yeast-0-2-5-7-9_vs_3-6-8,0.5908811875662704,0.7882427875389536
yeast-0-3-5-9_vs_7-8,0.6555701754385965,0.7172934671283149
yeast-0-5-6-7-9_vs_4,0.6066510461626999,0.8535290459340403
yeast-1-2-8-9_vs_7,0.5514358415121774,0.9608201842237283
yeast-1-4-5-8_vs_7,0.5253896430367019,0.9593715892967146
yeast-1_vs_7,0.524941724941725,0.922853299961518
yeast-2_vs_4,0.7409901325541016,0.7931632439731994
yeast-2_vs_8,0.7864718614718614,0.5628642752069168
yeast1,0.5170914393663208,0.7060285232445238
yeast3,0.5482600558231123,0.8768145973348093
yeast4,0.6817317296772163,0.934892841894198
yeast5,0.5717645202020202,0.9561931909643064
yeast6,0.5131223503894311,0.9768065009284577
zoo-3,0.7895833333333334,0.8535416080307721
