folder_name,MAX_Bagging_auc,MAX_Bagging_avgprecision
shuttle-2_vs_5,0.6001636650987301,0.9745439705966938
shuttle-6_vs_2-3,0.9872727272727273,0.6273909423909424
shuttle-c0-vs-c4,0.532377357771233,0.9341484412744299
shuttle-c2-vs-c4,0.967479674796748,0.5637566137566137
vehicle0,0.5845844368674904,0.7805912555628148
vehicle1,0.5658898258518752,0.7771294899707457
vehicle2,0.5699833459942734,0.6753513850581859
vehicle3,0.5764537825129457,0.7168154805059304
vowel0,0.7882454837911409,0.6903177135108871
winequality-red-3_vs_5,0.6814977973568281,0.971102952928757
winequality-red-4,0.6039200371012229,0.9502172322086494
winequality-red-8_vs_6-7,0.6125049780963759,0.9695989926329324
winequality-red-8_vs_6,0.6340996168582376,0.9582093242958285
winequality-white-3-9_vs_5,0.7971448181194234,0.7650386124643297
winequality-white-3_vs_7,0.9057954545454545,0.5072121506680484
winequality-white-9_vs_4,0.585276073619632,0.9497563667168715
wisconsinImb,0.6682451279731614,0.7365607725327459
yeast-0-2-5-6_vs_3-7-8-9,0.5911211563145264,0.7878270327756046
yeast-0-2-5-7-9_vs_3-6-8,0.5696411630113287,0.8312806107125985
yeast-0-3-5-9_vs_7-8,0.6263596491228071,0.7782163672438627
yeast-0-5-6-7-9_vs_4,0.5986763678217619,0.8627976041576936
yeast-1-2-8-9_vs_7,0.631115957833515,0.9355560331713777
yeast-1-4-5-8_vs_7,0.5203368526897938,0.9571067686937964
yeast-1_vs_7,0.6408702408702409,0.8723473103333654
yeast-2_vs_4,0.7226951255664252,0.8120690451208235
yeast-2_vs_8,0.7886363636363636,0.6426061309112359
yeast1,0.5127387620278616,0.7101591663647404
yeast3,0.5130548060355837,0.8933912991644516
yeast4,0.602226235923539,0.9520022514257421
yeast5,0.561032196969697,0.9638870951978663
yeast6,0.5024548950014789,0.9765345709910912
zoo-3,0.5635416666666666,0.8882449862549184
