folder_name,SOD_std_auc,SOD_std_avgprecision
yeast-1-4-5-8_vs_7,0.5029160382101558,0.9577308125234766
yeast-1_vs_7,0.527039627039627,0.9289914084501525
yeast-2_vs_4,0.7071104899843307,0.8237258054664578
yeast-2_vs_8,0.6747294372294371,0.9166422905096233
yeast1,0.5185253924590418,0.6925396171866466
yeast3,0.5126948816429272,0.8919184530020137
yeast4,0.6085341324247773,0.945385335332737
yeast5,0.6346511994949495,0.9529197169181972
yeast6,0.5487035393867692,0.9717776508804576
zoo-3,0.90625,0.7114502164502164
