folder_name,Median_KNN_std_auc,Median_KNN_std_avgprecision
lymphography-normal-fibrosis,0.9806338028169015,0.5992063492063492
new-thyroid1,0.866984126984127,0.5395872783853146
new-thyroid2,0.866984126984127,0.5395872783853146
page-blocks-1-3_vs_4,0.7257882882882882,0.688712818581491
page-blocks0,0.7084260770683598,0.6070819817885488
pimaImb,0.7067388059701492,0.5310245355123744
poker-8-9_vs_5,0.8043512195121951,0.8494274275919007
poker-8-9_vs_6,0.8321506849315068,0.7689519299015315
poker-8_vs_6,0.7585817888799355,0.9617835612665049
poker-9_vs_7,0.979343220338983,0.790787037037037
segment0,0.7302996048171454,0.9079705288523559
shuttle-2_vs_5,0.969962456975444,0.7540104051171923
shuttle-6_vs_2-3,0.9790909090909091,0.528604026692262
shuttle-c0-vs-c4,0.6548623223629657,0.8584551967052237
shuttle-c2-vs-c4,0.967479674796748,0.5544973544973545
vehicle0,0.5500842698810902,0.7617832773301794
vehicle1,0.591737305209791,0.7105915166853991
vehicle2,0.6294447203880091,0.7594394998794772
vehicle3,0.5866652282602226,0.7264479964354147
vowel0,0.5608141549121504,0.8970599269455977
winequality-red-3_vs_5,0.8414096916299559,0.94232819520592
winequality-red-4,0.636926700676121,0.9242894071412737
winequality-red-8_vs_6-7,0.6062657639718572,0.9635704585977133
winequality-red-8_vs_6,0.6857366771159874,0.941794891913377
winequality-white-3-9_vs_5,0.8599176389842141,0.7529558746028041
winequality-white-3_vs_7,0.938409090909091,0.5425075190242491
winequality-white-9_vs_4,0.6650306748466258,0.9511503857628949
wisconsinImb,0.9788533303177654,0.9460656719408275
yeast-0-2-5-6_vs_3-7-8-9,0.6495116915006418,0.7839490940347653
yeast-0-2-5-7-9_vs_3-6-8,0.6525364138623808,0.8168125120296279
yeast-0-3-5-9_vs_7-8,0.6205921052631579,0.8521746333514681
yeast-0-5-6-7-9_vs_4,0.6043285238623752,0.8501363716420711
yeast-1-2-8-9_vs_7,0.5949654671028717,0.9430146696265753
yeast-1-4-5-8_vs_7,0.5285319255907491,0.9588124370204156
yeast-1_vs_7,0.5994949494949494,0.8953530667070558
yeast-2_vs_4,0.7658916698428831,0.7567166640220075
yeast-2_vs_8,0.7759199134199134,0.7846173905367986
yeast1,0.5398789204476409,0.6806077919985704
yeast3,0.5432280806044871,0.8853967191634421
yeast4,0.6616928697508312,0.9399354136143235
yeast5,0.6930318813131313,0.9341049995227897
yeast6,0.5575076407374544,0.9729490352740828
zoo-3,0.8677083333333333,0.7743589743589744
