folder_name,Avg_KNN_std_auc,Avg_KNN_std_avgprecision
winequality-white-3-9_vs_5,0.8821139327385038,0.7524881859618366
winequality-white-3_vs_7,0.9473295454545454,0.5664804361783713
winequality-white-9_vs_4,0.6834355828220858,0.9480899995891368
wisconsinImb,0.977157073391383,0.9354445081232017
yeast-0-2-5-6_vs_3-7-8-9,0.6501367263798202,0.7983226032415305
yeast-0-2-5-7-9_vs_3-6-8,0.6553602321558122,0.8292529857598981
yeast-0-3-5-9_vs_7-8,0.615,0.8547988838814204
yeast-0-5-6-7-9_vs_4,0.6180375714226991,0.8553170907386736
yeast-1-2-8-9_vs_7,0.5885132679025808,0.9453223912247654
yeast-1-4-5-8_vs_7,0.5238310708898944,0.9581076068536122
yeast-1_vs_7,0.5926961926961928,0.8972805117436797
yeast-2_vs_4,0.7856265616397746,0.7461571838709238
yeast-2_vs_8,0.7643939393939394,0.8132202245548947
yeast1,0.541612258199936,0.6827368369493282
yeast3,0.5510140579501493,0.8831527910218894
yeast4,0.6733303230573457,0.9382484686873125
yeast5,0.6861111111111111,0.944152939736443
yeast6,0.5724933451641526,0.9724020901631437
zoo-3,0.9145833333333333,0.7223809523809523
