folder_name,COF_std_auc,COF_std_avgprecision
vehicle1,0.5431633856681295,0.7200573180075299
vehicle2,0.5363101151171624,0.7503188484574765
vehicle3,0.527795964525921,0.7467826654870664
vowel0,0.5196238554813165,0.7999348002802913
winequality-red-3_vs_5,0.8315712187958884,0.9429025099671627
winequality-red-4,0.629842075715785,0.9480857025140892
winequality-red-8_vs_6,0.6278300243817485,0.9557708577203617
winequality-red-8_vs_6-7,0.5698260984999337,0.9699535532033874
winequality-white-3-9_vs_5,0.7942072752230611,0.8282414269661579
winequality-white-3_vs_7,0.8926136363636363,0.5759120101612283
winequality-white-9_vs_4,0.7067484662576686,0.9441907301674426
wisconsinImb,0.6222624297938105,0.7264719091372089
yeast-0-2-5-6_vs_3-7-8-9,0.5576762096099113,0.8531542810265681
yeast-0-2-5-7-9_vs_3-6-8,0.5107874323343937,0.9035255261355438
yeast-0-3-5-9_vs_7-8,0.5805263157894737,0.8817936074931452
yeast-0-5-6-7-9_vs_4,0.5672709335306451,0.8722542173735461
yeast-1-2-8-9_vs_7,0.6083969465648854,0.912779038252665
yeast-1-4-5-8_vs_7,0.5056309703368527,0.9538742425720663
yeast-1_vs_7,0.6149184149184149,0.8852676940942994
yeast-2_vs_4,0.6729767500952865,0.824766926600065
yeast-2_vs_8,0.7647186147186148,0.8488903969318101
yeast1,0.5508125365945271,0.6795262984964615
yeast3,0.5170697045833469,0.8798933162779042
yeast4,0.586128100926344,0.9489390372912998
yeast5,0.5195549242424242,0.9624658678383452
yeast6,0.6193236714975845,0.9812974634340842
zoo-3,0.81875,0.8558696754563895
