folder_name,Largest_KNN_std_auc,Largest_KNN_std_avgprecision
glass-0-6_vs_5,0.8765432098765432,0.6976268375238627
glass0,0.7146329365079365,0.7697345432379783
glass1,0.5339912280701755,0.655390209850558
glass2,0.585995819647656,0.9332840748155005
glass4,0.9001148105625718,0.6148800003374006
glass5,0.8184281842818428,0.8713099858905422
glass6,0.71071761416589,0.7445265213867914
habermanImb,0.686008230452675,0.5739650586921948
iris0,0.7626,0.7577008727450105
kr-vs-k-one_vs_fifteen,0.7466676137036248,0.8712681836571579
kr-vs-k-three_vs_eleven,0.7708587470909358,0.936021879418177
kr-vs-k-zero-one_vs_draw,0.8660245929559234,0.7042883976264225
kr-vs-k-zero_vs_eight,0.5534103538290559,0.9804230262881413
kr-vs-k-zero_vs_fifteen,0.6260900789986662,0.9598570612533366
led7digit-0-2-4-5-6-7-8-9_vs_1,0.5903008920250299,0.8560477540395031
lymphography-normal-fibrosis,0.9882629107981221,0.8484848484848484
new-thyroid1,0.8719047619047618,0.569064423302254
new-thyroid2,0.8719047619047618,0.569064423302254
page-blocks-1-3_vs_4,0.7419964607464608,0.6647672094283412
page-blocks0,0.755420342583493,0.570983916619923
pimaImb,0.708705223880597,0.5299016111427834
poker-8-9_vs_5,0.8093365853658536,0.8370534603574331
poker-8-9_vs_6,0.8182054794520548,0.7232515308135112
poker-8_vs_6,0.7381748589846897,0.9655993356250903
poker-9_vs_7,0.965042372881356,0.7673703457446809
segment0,0.7657454948693807,0.911559999291435
shuttle-2_vs_5,0.9842019452409063,0.7048056160616785
shuttle-6_vs_2-3,0.9772727272727273,0.5195833333333333
shuttle-c0-vs-c4,0.7340805764446858,0.8463927241018361
shuttle-c2-vs-c4,0.9688346883468834,0.5395502645502646
vehicle0,0.5237276024636319,0.7548523752534302
vehicle1,0.5605452294256847,0.7241212872134571
vehicle2,0.6382720738619763,0.7557173466810134
vehicle3,0.602084697339444,0.7204491694256987
vowel0,0.512286562731997,0.8585360169403538
winequality-red-3_vs_5,0.8045521292217328,0.9459795132865885
winequality-red-4,0.5889514022797724,0.9434954494971297
winequality-red-8_vs_6-7,0.6118744192220895,0.9667073584118449
winequality-red-8_vs_6,0.6616161616161617,0.9438004383502535
winequality-white-3-9_vs_5,0.8458613589567605,0.7828729955469993
winequality-white-3_vs_7,0.9120454545454546,0.5271960274667468
winequality-white-9_vs_4,0.7067484662576687,0.9442424242424242
wisconsinImb,0.9770251422971088,0.9236106609213801
yeast-0-2-5-6_vs_3-7-8-9,0.6590155700652938,0.7881130430455202
yeast-0-2-5-7-9_vs_3-6-8,0.678559071376751,0.8198298549914274
yeast-0-3-5-9_vs_7-8,0.6224342105263159,0.846557528241694
yeast-0-5-6-7-9_vs_4,0.6327126238336005,0.8557241892974075
yeast-1-2-8-9_vs_7,0.5725009087604507,0.9470163618263436
yeast-1-4-5-8_vs_7,0.521543489190548,0.9576401878741703
yeast-1_vs_7,0.5979797979797981,0.8861259315102807
yeast-2_vs_4,0.7798670224029136,0.766739609143363
yeast-2_vs_8,0.7573593073593073,0.7957351188908676
yeast1,0.5319181608281135,0.6950097470075538
yeast3,0.5421041876622562,0.8863184325785551
yeast4,0.6708194792222542,0.9403665982734231
yeast5,0.7134864267676767,0.9430720093047216
yeast6,0.604673173617273,0.9697715984043531
zoo-3,0.9104166666666667,0.7444444444444445
