folder_name,LSCP_std_auc,LSCP_std_avgprecision
glass-0-1-6_vs_5,0.7676190476190476,0.8808422103758398
glass-0-4_vs_5,0.8313253012048193,0.7284109190660837
glass-0-6_vs_5,0.8372615039281706,0.7558899076933356
glass0,0.6659722222222222,0.7570528224826641
glass1,0.5610221205186879,0.6188363101986001
glass2,0.5013436846819946,0.9178640176683138
glass4,0.8970531955606582,0.5941197185392357
glass5,0.7907859078590785,0.8731504945141011
glass6,0.5699906803355079,0.8313738613874364
habermanImb,0.6594238683127571,0.5854514422556341
iris0,0.5252,0.6272249667544698
kr-vs-k-one_vs_fifteen,0.5143120960295475,0.894149082026277
kr-vs-k-three_vs_eleven,0.8231548530544093,0.8513268474943937
kr-vs-k-zero-one_vs_draw,0.6697833639893727,0.6491089085639907
kr-vs-k-zero_vs_eight,0.7175829004161174,0.8612884038139682
kr-vs-k-zero_vs_fifteen,1.0,0.9999999999999998
led7digit-0-2-4-5-6-7-8-9_vs_1,0.5941618958860337,0.7503419060210693
lymphography-normal-fibrosis,0.9788732394366197,0.753267973856209
new-thyroid1,0.8493650793650793,0.5794048108522067
new-thyroid2,0.8493650793650793,0.5794048108522067
page-blocks-1-3_vs_4,0.7894144144144144,0.8702245802806751
page-blocks0,0.724780774018913,0.6829597566838299
pimaImb,0.6013880597014925,0.5819760696484164
poker-8-9_vs_5,0.7453268292682927,0.7746234484159851
poker-8-9_vs_6,0.7398082191780821,0.7000822930447499
poker-8_vs_6,0.6219178082191782,0.9504902025141
poker-9_vs_7,0.9740466101694916,0.7624304783092325
segment0,0.6150445943808163,0.8883949498180475
shuttle-2_vs_5,0.5369464590243811,0.9598035568094194
shuttle-6_vs_2-3,0.9831818181818183,0.6091938178780284
shuttle-c0-vs-c4,0.5267778000171561,0.8774912670490578
shuttle-c2-vs-c4,0.9715447154471545,0.5324074074074074
vehicle0,0.5300459018430639,0.752364530764039
vehicle1,0.501388349585693,0.7407746755196905
vehicle2,0.5304812131128382,0.7532719181101087
vehicle3,0.5612389143503363,0.7228663707808707
vowel0,0.8231749566938876,0.653219086327576
winequality-red-3_vs_5,0.8259911894273128,0.8865172247263038
winequality-red-4,0.6373477507383631,0.9426751959635548
winequality-red-8_vs_6,0.5668756530825496,0.9559354965148927
winequality-red-8_vs_6-7,0.5144696667994159,0.9731253837013523
winequality-white-3-9_vs_5,0.803761153054221,0.8169186786960321
winequality-white-3_vs_7,0.9009659090909092,0.502429684462703
winequality-white-9_vs_4,0.7374233128834355,0.9337482478379844
wisconsinImb,0.6091729805118926,0.7222729524461923
yeast-0-2-5-6_vs_3-7-8-9,0.5865952341090463,0.7944625014275128
yeast-0-2-5-7-9_vs_3-6-8,0.5440705396506501,0.8580341987260853
yeast-0-3-5-9_vs_7-8,0.6239473684210526,0.8124528455929072
yeast-0-5-6-7-9_vs_4,0.5937024705060221,0.8745476426381692
yeast-1-2-8-9_vs_7,0.619265721555798,0.934187427967711
yeast-1-4-5-8_vs_7,0.5093011563599799,0.9559602496260142
yeast-1_vs_7,0.6191919191919192,0.8819585789700835
yeast-2_vs_4,0.6909329606572652,0.822641413849485
yeast-2_vs_8,0.7848484848484849,0.6951242580672468
yeast1,0.5491090268341453,0.6969703254794918
yeast3,0.5134100862425287,0.8921908352673568
yeast4,0.6024246404772654,0.9445147438204613
yeast5,0.5109375,0.9681293339662591
yeast6,0.5594794439514936,0.9793686753832964
zoo-3,0.8270833333333333,0.8265799120234605
