folder_name,EE_std_auc,EE_std_avgprecision
glass4,0.8392652123995408,0.9618077721134105
glass5,0.7669376693766938,0.9704615083012021
glass6,0.9595526561043802,0.9248367732050121
habermanImb,0.7120438957475994,0.8105977941050986
iris0,0.5735999999999999,0.6489716043124322
kr-vs-k-one_vs_fifteen,0.7214882685796813,0.976814119159951
kr-vs-k-three_vs_eleven,0.709084931696471,0.9816925464076429
kr-vs-k-zero-one_vs_draw,0.7903842223584713,0.9787375289981785
kr-vs-k-zero_vs_eight,0.9018893282675557,0.9897529500836908
kr-vs-k-zero_vs_fifteen,0.8475428336924182,0.9926029824577585
led7digit-0-2-4-5-6-7-8-9_vs_1,0.5147450406071095,0.8971859219089335
lymphography-normal-fibrosis,0.9835680751173709,0.9758645022733203
new-thyroid1,0.8471428571428572,0.8993496845388117
new-thyroid2,0.8471428571428572,0.8993496845388117
page-blocks-1-3_vs_4,0.9276061776061776,0.9673280850258453
page-blocks0,0.9170604292871274,0.9451322283004511
pimaImb,0.6820298507462687,0.7425213304402216
poker-8-9_vs_5,0.6625365853658537,0.9153451832115128
poker-8-9_vs_6,0.6055068493150684,0.972297521276731
poker-8_vs_6,0.5511281224818695,0.9665283024633011
poker-9_vs_7,0.9867584745762712,0.9812438146662961
segment0,0.6589724017072882,0.8211997068663905
shuttle-2_vs_5,0.988730845873703,0.9923460615468759
shuttle-6_vs_2-3,0.9745454545454546,0.9753173463003876
shuttle-c0-vs-c4,0.9922463996035037,0.9652029004379465
shuttle-c2-vs-c4,0.9715447154471545,0.9717784108295382
vehicle0,0.6212282432254005,0.8168752805380333
vehicle1,0.608119097682665,0.7956748109801373
vehicle2,0.6470811663647519,0.5123945941248025
vehicle3,0.6029700613058747,0.8016193683573927
vowel0,0.7218139074486514,0.9411372490002073
winequality-red-3_vs_5,0.7844346549192365,0.9903520342570288
winequality-red-4,0.5912031047865459,0.9734171061625233
winequality-red-8_vs_6-7,0.532324439134475,0.9733679648800345
winequality-red-8_vs_6,0.5605189829327761,0.9699111650905303
winequality-white-3-9_vs_5,0.7918737131091284,0.9898194771708938
winequality-white-3_vs_7,0.8886931818181818,0.987649508072918
winequality-white-9_vs_4,0.6282208588957054,0.9732186800231439
wisconsinImb,0.9884654529005994,0.7985792314495196
yeast-0-2-5-6_vs_3-7-8-9,0.6847145488029466,0.9309050030172601
yeast-0-2-5-7-9_vs_3-6-8,0.722026898822479,0.9355180408122993
yeast-0-3-5-9_vs_7-8,0.6102850877192982,0.9209939638322777
yeast-0-5-6-7-9_vs_4,0.5727381099190201,0.9171296287287048
yeast-1-2-8-9_vs_7,0.5624136677571792,0.971614520057035
yeast-1-4-5-8_vs_7,0.5250879839115133,0.9524569164217099
yeast-1_vs_7,0.5969696969696969,0.9453364413753852
yeast-2_vs_4,0.7519163172828527,0.9368125766605653
yeast-2_vs_8,0.7556277056277056,0.9679274025698065
yeast1,0.5161700858383322,0.7133589676279883
yeast3,0.5685783683117921,0.9114753861097128
yeast4,0.6280256694443305,0.9747137316788248
yeast5,0.7575441919191919,0.9812933443827251
